% Model,modes.mph
% Version,COMSOL 5.2.0.220
% Date,"Apr 14 2016, 13:27"
% Table,Table 1 - Global Evaluation 1 (rp)
% w_RR1,w_slab,lambda,real(rp) (1)
0.18,0.020000000000000018,-3.703517841027742E-5-3985827.6884522215i,16.245211058882276
0.18,0.020000000000000018,5.7496033768582555E-5-3991233.2769555026i,-23.258575066459436
0.18,0.020000000000000018,-2.2485524972812844E-8-4045325.254848425i,-1500.0711019994656
0.18,0.020000000000000018,5.358313211540158E-10-4068662.195295887i,6.582004489504514E-4
0.18,0.03000000000000002,2.6790610433106968E-5-3985829.238196227i,16.143827383781158
0.18,0.03000000000000002,5.1598610827804986E-5-3991266.18025642i,-28.53875015127321
0.18,0.03000000000000002,4.036423984680173E-9-4045518.523500636i,-408.5594388349094
0.18,0.03000000000000002,-9.927829538157633E-10-4069153.6125162635i,0.0024185335773251096
0.18,0.04000000000000002,-4.414111252840731E-5-3985869.457619112i,-1890.5807305054905
0.18,0.04000000000000002,1.0572245365914315E-5-3991543.8943111445i,-10.345249189163432
0.18,0.04000000000000002,2.6380264885231303E-9-4048999.2757640616i,8.361978655845636
0.18,0.04000000000000002,-4072430.994469717i,-0.11901478956806444
0.18,0.05000000000000002,-3.4700657968393585E-4-3985922.3566980124i,-17.15623396048696
0.18,0.05000000000000002,-4.550881888591927E-4-3991891.5680541075i,-7.207402783468375
0.18,0.05000000000000002,-7.2676714310691276E-9-4053226.021495364i,3.614197600255618
0.18,0.05000000000000002,-4077603.117469014i,-0.27540578097746493
0.18,0.06000000000000002,6.890655308265241E-5-3985988.477637983i,-9.019404838085872
0.18,0.06000000000000002,2.345003038621668E-4-3992277.086076231i,-5.779603632062444
0.18,0.06000000000000002,9.761756785162905E-10-4057672.7559141363i,2.0816406855460983
0.18,0.06000000000000002,1.6499194209179132E-9-4085306.374757901i,-0.4783139949317784
0.18,0.07000000000000002,9.727787108191826E-4-3986070.062267703i,-6.312907862463174
0.18,0.07000000000000002,0.0011865821932784861-3992696.3375351676i,-5.052020575480018
0.18,0.07000000000000002,3.547547243661679E-9-4061822.995352126i,1.3814702713463598
0.18,0.07000000000000002,-4096976.9971583504i,-0.7210693413192725
0.18,0.08000000000000002,-0.0021098557921644225-3986171.289718236i,-4.976397306980274
0.18,0.08000000000000002,-0.0036530356297212823-3993165.617116758i,-4.592786130696147
0.18,0.08000000000000002,-8.425577634360011E-10-4065455.7426940086i,1.0162111333683637
0.18,0.08000000000000002,-1.0706024881470738E-9-4114653.907105461i,-0.9807699323824297
0.18,0.09000000000000002,1.543017354369362E-4-3986297.6630230653i,-4.210991118827754
0.18,0.09000000000000002,1.6136829186469388E-4-3993662.4714403967i,-4.346703488156477
0.18,0.09000000000000002,7.947439726346015E-10-4068608.0297779106i,0.8081926158036267
0.18,0.09000000000000002,1.0353416982853483E-9-4139824.05485985i,-1.2340457981333037
0.18,0.10000000000000002,-7.948949716786666E-5-3986455.9756532325i,-3.710526810765554
0.18,0.10000000000000002,-1.7003590520607882E-4-3994216.320412862i,-4.163906955132635
0.18,0.10000000000000002,-4071400.7908812957i,0.6777174205964189
