% Model,modes.mph
% Version,COMSOL 4.4.0.248
% Date,"Apr 9 2016, 01:28"
% Table,Table 1 - Global Evaluation 1 (real(log10(rp)))
% w_beam,lambda,real(log10(rp))
0.01,1,-1.1700600273889836
0.01,2,0.6705500633425734
0.02,1,-1.0993504086005732
0.02,2,0.453400255956962
0.03,1,-1.0012133952672961
0.03,2,0.31509563298138044
0.04,1,-0.9027713522116438
0.04,2,0.20764552195838695
0.05,1,-0.812352490722577
0.05,2,0.11413941817018575
0.060000000000000005,1,-0.7295371054183056
0.060000000000000005,2,0.03175065204169618
0.06999999999999999,1,-0.6564309019331437
0.06999999999999999,2,-0.04499217924436625
0.08,1,-0.11735512810251712
0.08,2,-0.5915007917975454
0.09,1,-0.535230240192101
0.09,2,-0.18604086783384743
0.09999999999999999,1,-0.4859852874132525
0.09999999999999999,2,-0.2528802854413074
0.11,1,-0.4440222794024722
0.11,2,-0.31700540784081965
0.12,1,-0.40847676786836007
0.12,2,-0.3775288241995062
0.13,1,-0.3792604114337247
0.13,2,-0.43509834986146206
0.14,1,-0.355829618318387
0.14,2,-0.48778519702332485
0.15000000000000002,1,-0.3372258104278787
0.15000000000000002,2,-0.540549223998154
0.16,1,-0.3235093703635213
0.16,2,-0.5904411931613152
0.17,1,-0.31431424222507387
0.17,2,-0.6354741969039338
0.18000000000000002,1,-0.30880240610890863
0.18000000000000002,2,-0.680411430890703
0.19,1,-0.3070480624289009
0.19,2,-0.7216160104842956
0.2,1,-0.30790267306851643
0.2,2,-0.7703416666494595
